id;resi;nama_penerima;alamat_tujuan;kota_asal;kota_tujuan;berat;biaya;status;id_layanan;id_klasifikasi;id_kurir;created_at
1;SWF-20250101-0001;Eko Prasetyo;Jl. Gatot Subroto No. 55;Surabaya;Yogyakarta;1.664000;33280.000000;terkirim;2;1;4;2025-01-01 05:00:35
2;SWF-20250101-0002;Roni Wijaya;Jl. Kebon Jeruk No. 60;Bekasi;Jakarta Timur;2.100000;42000.000000;terkirim;2;1;6;2025-01-01 14:48:56
3;SWF-20250102-0003;Budi Santoso;Jl. Diponegoro No. 4;Bekasi;Jakarta Barat;3.264000;114240.000000;terkirim;3;1;4;2025-01-02 07:03:36
4;SWF-20250103-0004;Rahmat Hidayat;Jl. Kamboja No. 115;Semarang;Bekasi;19.262500;410250.000000;terkirim;2;2;6;2025-01-03 08:55:44
5;SWF-20250103-0005;Budi Santoso;Jl. Sudirman No. 123;Tangerang;Bogor;18.216000;207160.000000;terkirim;1;2;4;2025-01-03 20:31:49
6;SWF-20250104-0006;Andi Pratama;Jl. Melati No. 98;Bandung;Karawang;39.417333;415338.666667;terkirim;4;3;4;2025-01-04 12:42:23
7;SWF-20250105-0007;Roni Wijaya;Jl. Cempaka No. 116;Jakarta Barat;Bogor;36.640667;393125.333333;terkirim;4;3;6;2025-01-05 04:34:25
8;SWF-20250108-0008;Andi Pratama;Jl. Mawar No. 40;Surabaya;Bogor;1.260000;12600.000000;terkirim;1;1;5;2025-01-08 02:36:58
9;SWF-20250109-0009;Sari Indah;Jl. Melati No. 32;Tangerang;Bekasi;7.850667;274773.333333;terkirim;3;1;5;2025-01-09 15:18:01
10;SWF-20250110-0010;Toni Hermanto;Jl. Pahlawan No. 28;Bekasi;Bandung;10.260000;230200.000000;terkirim;2;2;5;2025-01-10 01:07:42
11;SWF-20250110-0011;Andi Pratama;Jl. Merdeka No. 47;Depok;Semarang;23.373000;258730.000000;terkirim;1;2;4;2025-01-10 03:05:39
12;SWF-20250110-0012;Budi Santoso;Jl. Gatot Subroto No. 136;Jakarta Barat;Bogor;37.842000;856840.000000;terkirim;2;3;5;2025-01-10 16:27:18
13;SWF-20250111-0013;Rahmat Hidayat;Jl. Sudirman No. 40;Jakarta Timur;Surabaya;2.346667;18773.333333;terkirim;4;1;6;2025-01-11 21:01:25
14;SWF-20250112-0014;Wati Kurnia;Jl. Mangga Dua No. 56;Semarang;Karawang;14.040000;165400.000000;terkirim;1;2;5;2025-01-12 17:11:53
15;SWF-20250117-0015;Hendra Wijaya;Jl. Sudirman No. 57;Tangerang;Surabaya;1.020000;35700.000000;terkirim;3;1;4;2025-01-17 17:25:17
16;SWF-20250118-0016;Agus Setiawan;Jl. Merdeka No. 128;Yogyakarta;Tangerang;8.042667;160853.333333;terkirim;2;1;6;2025-01-18 04:44:21
17;SWF-20250119-0017;Sari Indah;Jl. Cempaka No. 5;Bogor;Jakarta Selatan;32.533333;360266.666667;terkirim;4;3;5;2025-01-19 11:09:13
18;SWF-20250121-0018;Dewi Lestari;Jl. Flamboyan No. 93;Jakarta Selatan;Bogor;10.215833;106726.666667;terkirim;4;2;6;2025-01-21 20:46:03
19;SWF-20250122-0019;Lestari Wulandari;Jl. Pahlawan No. 86;Semarang;Jakarta Timur;5.700000;114000.000000;terkirim;2;1;5;2025-01-22 03:25:27
20;SWF-20250122-0020;Siti Rahma;Jl. Mangga Dua No. 51;Jakarta Timur;Surabaya;2.938667;23509.333333;terkirim;4;1;5;2025-01-22 09:38:45
21;SWF-20250124-0021;Dian Sasmita;Jl. Melati No. 81;Jakarta Timur;Karawang;13.860000;510100.000000;terkirim;3;2;5;2025-01-24 04:30:09
22;SWF-20250126-0022;Rahmat Hidayat;Jl. Raya Bogor No. 119;Bogor;Jakarta Pusat;7.429000;74290.000000;terkirim;1;1;6;2025-01-26 06:18:05
23;SWF-20250126-0023;Gita Saraswati;Jl. Sudirman No. 116;Semarang;Bandung;20.230000;429600.000000;terkirim;2;2;4;2025-01-26 12:58:14
24;SWF-20250126-0024;Rahmat Hidayat;Jl. Thamrin No. 11;Jakarta Barat;Semarang;55.902000;1218040.000000;terkirim;2;3;5;2025-01-26 20:42:37
25;SWF-20250126-0025;Lestari Wulandari;Jl. Sudirman No. 86;Jakarta Selatan;Tangerang;9.951333;348296.666667;terkirim;3;1;6;2025-01-26 21:53:57
26;SWF-20250127-0026;Maya Kartika;Jl. Diponegoro No. 90;Depok;Yogyakarta;5.200000;182000.000000;terkirim;3;1;6;2025-01-27 11:28:39
27;SWF-20250127-0027;Hadi Sunyoto;Jl. Gatot Subroto No. 109;Karawang;Bekasi;5.488000;109760.000000;terkirim;2;1;4;2025-01-27 17:45:50
28;SWF-20250128-0028;Siti Rahma;Jl. Diponegoro No. 20;Depok;Jakarta Selatan;75.023667;850236.666667;terkirim;1;3;6;2025-01-28 11:08:10
29;SWF-20250130-0029;Siti Rahma;Jl. Thamrin No. 47;Yogyakarta;Bandung;5.115000;40920.000000;terkirim;4;1;5;2025-01-30 02:58:39
30;SWF-20250130-0030;Hendra Wijaya;Jl. Flamboyan No. 60;Karawang;Jakarta Barat;19.436667;705283.333333;terkirim;3;2;6;2025-01-30 05:46:35
31;SWF-20250201-0031;Sri Wahyuni;Jl. Cempaka No. 42;Jakarta Barat;Surabaya;3.024000;24192.000000;terkirim;4;1;5;2025-02-01 06:19:27
32;SWF-20250201-0032;Hendra Wijaya;Jl. Gatot Subroto No. 42;Depok;Karawang;22.750000;252500.000000;terkirim;1;2;4;2025-02-01 17:35:02
33;SWF-20250203-0033;Sari Indah;Jl. Kenanga No. 129;Bekasi;Jakarta Barat;11.210000;249200.000000;terkirim;2;2;4;2025-02-03 04:21:59
34;SWF-20250203-0034;Siti Rahma;Jl. Sudirman No. 74;Bogor;Semarang;21.105000;236050.000000;terkirim;1;2;4;2025-02-03 16:32:04
35;SWF-20250203-0035;Gita Saraswati;Jl. Cempaka No. 29;Semarang;Depok;8.000000;80000.000000;terkirim;1;1;4;2025-02-03 20:27:12
36;SWF-20250205-0036;Toni Hermanto;Jl. Merdeka No. 132;Bandung;Jakarta Barat;14.037333;165373.333333;terkirim;1;2;6;2025-02-05 07:14:07
37;SWF-20250205-0037;Dewi Lestari;Jl. Gatot Subroto No. 135;Bekasi;Jakarta Selatan;75.023667;850236.666667;terkirim;1;3;5;2025-02-05 09:06:50
38;SWF-20250205-0038;Andi Pratama;Jl. Merdeka No. 92;Semarang;Jakarta Selatan;8.280000;289800.000000;terkirim;3;1;4;2025-02-05 22:08:25
39;SWF-20250206-0039;Dewi Lestari;Jl. Flamboyan No. 123;Surabaya;Jakarta Timur;5.508000;55080.000000;terkirim;1;1;5;2025-02-06 20:46:20
40;SWF-20250207-0040;Lestari Wulandari;Jl. Raya Bogor No. 132;Tangerang;Bandung;6.860000;137200.000000;terkirim;2;1;5;2025-02-07 12:28:19
41;SWF-20250209-0041;Agus Setiawan;Jl. Mawar No. 112;Tangerang;Semarang;34.397000;787940.000000;terkirim;2;3;5;2025-02-09 01:38:06
42;SWF-20250209-0042;Andi Pratama;Jl. Gatot Subroto No. 109;Jakarta Selatan;Bogor;20.421500;739752.500000;terkirim;3;2;4;2025-02-09 10:55:03
43;SWF-20250209-0043;Eko Prasetyo;Jl. Cempaka No. 43;Yogyakarta;Bogor;9.045000;316575.000000;terkirim;3;1;6;2025-02-09 13:36:22
44;SWF-20250210-0044;Sri Wahyuni;Jl. Mawar No. 132;Semarang;Yogyakarta;1.820000;14560.000000;terkirim;4;1;4;2025-02-10 00:31:34
45;SWF-20250210-0045;Yanto Sukarno;Jl. Mawar No. 99;Bandung;Jakarta Pusat;18.458500;671047.500000;terkirim;3;2;5;2025-02-10 17:11:49
46;SWF-20250212-0046;Sri Wahyuni;Jl. Melati No. 72;Jakarta Barat;Jakarta Selatan;5.219500;41756.000000;terkirim;4;1;6;2025-02-12 02:23:37
47;SWF-20250212-0047;Eko Prasetyo;Jl. Kebon Jeruk No. 74;Yogyakarta;Bogor;3.937500;39375.000000;terkirim;1;1;5;2025-02-12 03:09:18
48;SWF-20250213-0048;Lestari Wulandari;Jl. Mawar No. 17;Karawang;Bandung;11.280000;250600.000000;terkirim;2;2;5;2025-02-13 18:12:24
49;SWF-20250214-0049;Siti Rahma;Jl. Pahlawan No. 127;Jakarta Pusat;Tangerang;52.440000;1148800.000000;terkirim;2;3;6;2025-02-14 03:59:48
50;SWF-20250216-0050;Toni Hermanto;Jl. Cempaka No. 105;Bandung;Jakarta Selatan;4.116667;32933.333333;terkirim;4;1;5;2025-02-16 11:02:27
51;SWF-20250216-0051;Maya Kartika;Jl. Thamrin No. 34;Tangerang;Bandung;5.383333;107666.666667;terkirim;2;1;5;2025-02-16 12:25:21
52;SWF-20250216-0052;Joko Susilo;Jl. Mawar No. 133;Depok;Jakarta Selatan;19.600000;711000.000000;terkirim;3;2;4;2025-02-16 20:42:33
53;SWF-20250218-0053;Rahmat Hidayat;Jl. Thamrin No. 149;Jakarta Timur;Jakarta Barat;1.722500;17225.000000;terkirim;1;1;4;2025-02-18 07:03:06
54;SWF-20250219-0054;Wati Kurnia;Jl. Merdeka No. 128;Surabaya;Karawang;26.696000;558920.000000;terkirim;2;2;6;2025-02-19 00:23:24
55;SWF-20250224-0055;Sari Indah;Jl. Thamrin No. 113;Tangerang;Karawang;21.942000;463840.000000;terkirim;2;2;5;2025-02-24 01:18:05
56;SWF-20250225-0056;Siti Rahma;Jl. Mawar No. 132;Karawang;Jakarta Selatan;23.000000;255000.000000;terkirim;1;2;5;2025-02-25 18:52:19
57;SWF-20250226-0057;Sari Indah;Jl. Raya Bogor No. 99;Bandung;Tangerang;10.455000;390925.000000;terkirim;3;2;4;2025-02-26 09:53:13
58;SWF-20250226-0058;Toni Hermanto;Jl. Raya Bogor No. 128;Jakarta Pusat;Jakarta Timur;50.320000;1106400.000000;terkirim;2;3;4;2025-02-26 12:01:12
59;SWF-20250226-0059;Hendra Wijaya;Jl. Kamboja No. 121;Depok;Bandung;2.740833;54816.666667;terkirim;2;1;5;2025-02-26 18:00:01
60;SWF-20250227-0060;Sari Indah;Jl. Kenanga No. 14;Bandung;Karawang;25.386667;913533.333333;terkirim;3;2;4;2025-02-27 11:06:38
61;SWF-20250227-0061;Dian Sasmita;Jl. Ahmad Yani No. 33;Jakarta Selatan;Bogor;28.196000;588920.000000;terkirim;2;2;4;2025-02-27 13:51:43
62;SWF-20250301-0062;Sari Indah;Jl. Sudirman No. 36;Yogyakarta;Bekasi;60.293333;1305866.666667;terkirim;2;3;6;2025-03-01 15:24:20
63;SWF-20250302-0063;Lestari Wulandari;Jl. Thamrin No. 101;Bandung;Semarang;31.376000;351008.000000;terkirim;4;3;6;2025-03-02 16:53:07
64;SWF-20250304-0064;Yanto Sukarno;Jl. Melati No. 29;Tangerang;Surabaya;7.431667;260108.333333;terkirim;3;1;6;2025-03-04 11:10:28
65;SWF-20250307-0065;Toni Hermanto;Jl. Thamrin No. 135;Surabaya;Semarang;11.097333;135973.333333;terkirim;1;2;6;2025-03-07 04:15:14
66;SWF-20250307-0066;Eko Prasetyo;Jl. Melati No. 108;Jakarta Timur;Bogor;27.528000;245224.000000;terkirim;4;2;6;2025-03-07 04:59:25
67;SWF-20250309-0067;Roni Wijaya;Jl. Melati No. 123;Karawang;Tangerang;18.133333;659666.666667;terkirim;3;2;6;2025-03-09 19:49:35
68;SWF-20250311-0068;Roni Wijaya;Jl. Pahlawan No. 72;Karawang;Depok;13.984000;304680.000000;terkirim;2;2;6;2025-03-11 10:13:47
69;SWF-20250311-0069;Yanto Sukarno;Jl. Mangga Dua No. 74;Jakarta Selatan;Surabaya;45.820000;1703700.000000;terkirim;3;3;4;2025-03-11 11:59:26
70;SWF-20250312-0070;Rahmat Hidayat;Jl. Mawar No. 114;Surabaya;Depok;15.324167;561345.833333;terkirim;3;2;6;2025-03-12 11:49:00
71;SWF-20250314-0071;Dian Sasmita;Jl. Pahlawan No. 63;Jakarta Pusat;Yogyakarta;19.019000;215190.000000;terkirim;1;2;4;2025-03-14 13:49:03
72;SWF-20250315-0072;Siti Rahma;Jl. Merdeka No. 141;Jakarta Timur;Bogor;28.991667;1039708.333333;terkirim;3;2;5;2025-03-15 10:04:59
73;SWF-20250316-0073;Maya Kartika;Jl. Pahlawan No. 137;Yogyakarta;Semarang;4.704000;94080.000000;terkirim;2;1;4;2025-03-16 07:30:44
74;SWF-20250316-0074;Hendra Wijaya;Jl. Sudirman No. 3;Depok;Surabaya;9.169333;73354.666667;terkirim;4;1;6;2025-03-16 13:18:37
75;SWF-20250318-0075;Eko Prasetyo;Jl. Mangga Dua No. 50;Semarang;Jakarta Selatan;17.680000;643800.000000;terkirim;3;2;6;2025-03-18 11:16:53
76;SWF-20250318-0076;Maya Kartika;Jl. Kebon Jeruk No. 45;Bandung;Yogyakarta;48.800000;1808000.000000;terkirim;3;3;4;2025-03-18 16:16:13
77;SWF-20250319-0077;Toni Hermanto;Jl. Melati No. 64;Jakarta Pusat;Bekasi;26.353333;947366.666667;terkirim;3;2;5;2025-03-19 00:12:34
78;SWF-20250319-0078;Yanto Sukarno;Jl. Pahlawan No. 16;Surabaya;Jakarta Selatan;16.905000;160240.000000;terkirim;4;2;6;2025-03-19 07:21:07
79;SWF-20250319-0079;Hendra Wijaya;Jl. Mawar No. 57;Jakarta Barat;Jakarta Timur;23.335333;841736.666667;terkirim;3;2;5;2025-03-19 19:13:54
80;SWF-20250320-0080;Roni Wijaya;Jl. Pahlawan No. 21;Karawang;Bogor;13.654667;161546.666667;terkirim;1;2;4;2025-03-20 00:25:34
81;SWF-20250320-0081;Siti Rahma;Jl. Thamrin No. 84;Karawang;Bogor;10.368000;128680.000000;terkirim;1;2;6;2025-03-20 04:42:51
82;SWF-20250321-0082;Hadi Sunyoto;Jl. Cempaka No. 117;Bandung;Jakarta Pusat;6.762000;54096.000000;terkirim;4;1;5;2025-03-21 19:16:06
83;SWF-20250322-0083;Sari Indah;Jl. Cempaka No. 89;Yogyakarta;Jakarta Selatan;4.029000;32232.000000;terkirim;4;1;4;2025-03-22 01:14:59
84;SWF-20250322-0084;Wati Kurnia;Jl. Mawar No. 98;Bogor;Tangerang;15.273333;330466.666667;terkirim;2;2;6;2025-03-22 09:06:15
85;SWF-20250322-0085;Sri Wahyuni;Jl. Diponegoro No. 58;Jakarta Pusat;Jakarta Selatan;43.608000;448864.000000;terkirim;4;3;6;2025-03-22 11:03:35
86;SWF-20250323-0086;Yanto Sukarno;Jl. Diponegoro No. 71;Jakarta Barat;Semarang;3.528000;35280.000000;terkirim;1;1;4;2025-03-23 04:31:09
87;SWF-20250323-0087;Sari Indah;Jl. Flamboyan No. 13;Jakarta Barat;Semarang;10.065000;226300.000000;terkirim;2;2;6;2025-03-23 11:19:33
88;SWF-20250324-0088;Hendra Wijaya;Jl. Pahlawan No. 148;Bekasi;Surabaya;16.320000;351400.000000;terkirim;2;2;6;2025-03-24 00:20:54
89;SWF-20250325-0089;Andi Pratama;Jl. Sudirman No. 143;Bandung;Semarang;24.917333;274173.333333;terkirim;1;2;5;2025-03-25 01:44:11
90;SWF-20250325-0090;Wati Kurnia;Jl. Cempaka No. 39;Depok;Bogor;30.030000;700600.000000;terkirim;2;3;4;2025-03-25 04:23:19
